ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
110447,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Waiting for the Light ù 1990",Shirley MacLaine,,,,,,,,,
110448,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Postcards From the Edge ù 1990",Shirley MacLaine,,,,,,,,,
110449,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Steel Magnolias ù 1989",Shirley MacLaine,,,,,,,,,
110450,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Madame Sousatzka ù 1988",Shirley MacLaine,,,,,,,,,
110451,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Out on a Limb ù 1987",Shirley MacLaine,,,,,,,,,
110452,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Cannonball Run II ù 1984",Shirley MacLaine,,,,,,,,,
110453,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Terms of Endearment ù 1983",Shirley MacLaine,,,,,,,,,
110454,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Loving Couples ù 1980",Shirley MacLaine,,,,,,,,,
110455,"TV / Movies: Born April 24, 1934, She Starred In This Movie: A Change of Seasons ù 1980",Shirley MacLaine,,,,,,,,,
110456,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Being There ù 1979",Shirley MacLaine,,,,,,,,,
110457,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Turning Point ù 1977",Shirley MacLaine,,,,,,,,,
110458,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Possession of Joel Delaney ù 1972",Shirley MacLaine,,,,,,,,,
110459,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Desperate Characters ù 1971",Shirley MacLaine,,,,,,,,,
110460,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Two Mules for Sister Sara ù 1970",Shirley MacLaine,,,,,,,,,
110461,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Sweet Charity ù 1969",Shirley MacLaine,,,,,,,,,
110462,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Bliss of Mrs. Blossom ù 1968",Shirley MacLaine,,,,,,,,,
110463,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Woman Times Seven ù 1967",Shirley MacLaine,,,,,,,,,
110464,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Gambit ù 1966",Shirley MacLaine,,,,,,,,,
110465,"TV / Movies: Born April 24, 1934, She Starred In This Movie: John Goldfarb, Please Come Home ù 1964",Shirley MacLaine,,,,,,,,,
110466,"TV / Movies: Born April 24, 1934, She Starred In This Movie: What a Way To Go! ù 1964",Shirley MacLaine,,,,,,,,,
110467,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Yellow Rolls-Royce ù 1964",Shirley MacLaine,,,,,,,,,
110468,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Irma La Douce ù 1963",Shirley MacLaine,,,,,,,,,
110469,"TV / Movies: Born April 24, 1934, She Starred In This Movie: My Geisha ù 1962",Shirley MacLaine,,,,,,,,,
110470,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Two for the Seesaw ù 1962",Shirley MacLaine,,,,,,,,,
110471,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Children's Hour/The Loudest Whisper ù 1962",Shirley MacLaine,,,,,,,,,
110472,"TV / Movies: Born April 24, 1934, She Starred In This Movie: All in a Night's Work ù 1961",Shirley MacLaine,,,,,,,,,
110473,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Two Loves ù 1961",Shirley MacLaine,,,,,,,,,
110474,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Can-Can ù 1960",Shirley MacLaine,,,,,,,,,
110475,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Ocean's Eleven ù 1960",Shirley MacLaine,,,,,,,,,
110476,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Apartment ù 1960",Shirley MacLaine,,,,,,,,,
110477,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Career ù 1959",Shirley MacLaine,,,,,,,,,
110478,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Ask Any Girl ù 1959",Shirley MacLaine,,,,,,,,,
110479,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Some Came Running ù 1958",Shirley MacLaine,,,,,,,,,
110480,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Hot Spell ù 1958",Shirley MacLaine,,,,,,,,,
110481,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Matchmaker ù 1958",Shirley MacLaine,,,,,,,,,
110482,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Sheepman ù 1958",Shirley MacLaine,,,,,,,,,
110483,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Around the World in 80 Days ù 1956",Shirley MacLaine,,,,,,,,,
110484,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Trouble With Harry ù 1955",Shirley MacLaine,,,,,,,,,
110485,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Artists and Models ù 1955",Shirley MacLaine,,,,,,,,,
110486,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: Any Given Sunday ù 1999",Cameron Diaz,,,,,,,,,
110487,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: Being John Malkovich ù 1999",Cameron Diaz,,,,,,,,,
110488,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: Fear and Loathing in Las Vegas ù 1998",Cameron Diaz,,,,,,,,,
110489,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: There's Something About Mary ù 1998",Cameron Diaz,,,,,,,,,
110490,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: Very Bad Things ù 1998",Cameron Diaz,,,,,,,,,
110491,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: My Best Friend's Wedding ù 1997",Cameron Diaz,,,,,,,,,
110492,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: Head Above Water ù 1997",Cameron Diaz,,,,,,,,,
110493,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: Keys to Tulsa ù 1997",Cameron Diaz,,,,,,,,,
110494,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: A Life Less Ordinary ù 1997",Cameron Diaz,,,,,,,,,
110495,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: The Last Supper ù 1996",Cameron Diaz,,,,,,,,,
110496,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: Feeling Minnesota ù 1996",Cameron Diaz,,,,,,,,,
110497,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: She's the One ù 1996",Cameron Diaz,,,,,,,,,
110498,"TV / Movies: Born Aug 30, 1972, She Starred In This Movie: The Mask ù 1994",Cameron Diaz,,,,,,,,,
110499,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Where the Heart Is ù 2000",Sally Field,,,,,,,,,
110500,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Homeward Bound II: Lost in San Francisco ù 1996",Sally Field,,,,,,,,,
110501,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Eye for an Eye ù 1996",Sally Field,,,,,,,,,
110502,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Forrest Gump ù 1994",Sally Field,,,,,,,,,
110503,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: A Century of Cinema ù 1994",Sally Field,,,,,,,,,
110504,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Homeward Bound: The Incredible Journey ù 1993",Sally Field,,,,,,,,,
110505,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Mrs. Doubtfire ù 1993",Sally Field,,,,,,,,,
110506,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Not Without My Daughter ù 1991",Sally Field,,,,,,,,,
110507,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Soapdish ù 1991",Sally Field,,,,,,,,,
110508,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Steel Magnolias ù 1989",Sally Field,,,,,,,,,
110509,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Punchline ù 1988",Sally Field,,,,,,,,,
110510,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Surrender ù 1987",Sally Field,,,,,,,,,
110511,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Murphy's Romance ù 1985",Sally Field,,,,,,,,,
110512,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Places in the Heart ù 1984",Sally Field,,,,,,,,,
110513,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Kiss Me Goodbye ù 1982",Sally Field,,,,,,,,,
110514,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Back Roads ù 1981",Sally Field,,,,,,,,,
110515,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Absence of Malice ù 1981",Sally Field,,,,,,,,,
110516,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Smokey and the Bandit II ù 1980",Sally Field,,,,,,,,,
110517,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Beyond the Poseidon Adventure ù 1979",Sally Field,,,,,,,,,
110518,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Norma Rae ù 1979",Sally Field,,,,,,,,,
110519,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: The End ù 1978",Sally Field,,,,,,,,,
110520,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Hooper ù 1978",Sally Field,,,,,,,,,
110521,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Heroes ù 1977",Sally Field,,,,,,,,,
110522,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Smokey and the Bandit ù 1977",Sally Field,,,,,,,,,
110523,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Sybil ù 1976",Sally Field,,,,,,,,,
110524,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Bridger ù 1976",Sally Field,,,,,,,,,
110525,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Stay Hungry ù 1976",Sally Field,,,,,,,,,
110526,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Home for the Holidays ù 1972",Sally Field,,,,,,,,,
110527,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Mongo's Back in Town ù 1971",Sally Field,,,,,,,,,
110528,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Maybe I'll Come Home in the Spring ù 1971",Sally Field,,,,,,,,,
110529,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Marriage: Year One ù 1971",Sally Field,,,,,,,,,
110530,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: Hitched ù 1971",Sally Field,,,,,,,,,
110531,"TV / Movies: Born Nov 6, 1946, She Starred In This Movie: The Way West ù 1967",Sally Field,,,,,,,,,
110532,"TV / Movies: Born June 10, 1922, She Starred In This Movie: That's Entertainment, Part 2 ù 1976",Judy Garland,,,,,,,,,
110533,"TV / Movies: Born June 10, 1922, She Starred In This Movie: That's Entertainment ù 1974",Judy Garland,,,,,,,,,
110534,"TV / Movies: Born June 10, 1922, She Starred In This Movie: I Could Go On Singing ù 1963",Judy Garland,,,,,,,,,
110535,"TV / Movies: Born June 10, 1922, She Starred In This Movie: A Child Is Waiting ù 1963",Judy Garland,,,,,,,,,
110536,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Judgment at Nuremberg ù 1961",Judy Garland,,,,,,,,,
110537,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Pepe ù 1960",Judy Garland,,,,,,,,,
110538,"TV / Movies: Born June 10, 1922, She Starred In This Movie: A Star Is Born ù 1954",Judy Garland,,,,,,,,,
110539,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Summer Stock ù 1950",Judy Garland,,,,,,,,,
110540,"TV / Movies: Born June 10, 1922, She Starred In This Movie: In the Good Old Summertime ù 1949",Judy Garland,,,,,,,,,
110541,"TV / Movies: Born June 10, 1922, She Starred In This Movie: The Pirate ù 1948",Judy Garland,,,,,,,,,
110542,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Easter Parade ù 1948",Judy Garland,,,,,,,,,
110543,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Ziegfeld Follies ù 1946",Judy Garland,,,,,,,,,
110544,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Till the Clouds Roll By ù 1946",Judy Garland,,,,,,,,,
110545,"TV / Movies: Born June 10, 1922, She Starred In This Movie: The Clock ù 1945",Judy Garland,,,,,,,,,
110546,"TV / Movies: Born June 10, 1922, She Starred In This Movie: The Harvey Girls ù 1945",Judy Garland,,,,,,,,,
110547,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Meet Me in St. Louis ù 1944",Judy Garland,,,,,,,,,
110548,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Presenting Lily Mars ù 1943",Judy Garland,,,,,,,,,
110549,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Girl Crazy ù 1943",Judy Garland,,,,,,,,,
110550,"TV / Movies: Born June 10, 1922, She Starred In This Movie: For Me and My Gal ù 1942",Judy Garland,,,,,,,,,
110551,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Ziegfeld Girl ù 1941",Judy Garland,,,,,,,,,
110552,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Life Begins for Andy Hardy ù 1941",Judy Garland,,,,,,,,,
110553,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Babes on Broadway ù 1941",Judy Garland,,,,,,,,,
110554,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Little Nellie Kelly ù 1940",Judy Garland,,,,,,,,,
110555,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Andy Hardy Meets a Debutante ù 1940",Judy Garland,,,,,,,,,
110556,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Babes in Arms ù 1939",Judy Garland,,,,,,,,,
110557,"TV / Movies: Born June 10, 1922, She Starred In This Movie: The Wizard of Oz ù 1939",Judy Garland,,,,,,,,,
110558,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Love Finds Andy Hardy ù 1938",Judy Garland,,,,,,,,,
110559,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Listen, Darling ù 1938",Judy Garland,,,,,,,,,
110560,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Everybody Sing ù 1938",Judy Garland,,,,,,,,,
110561,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Thoroughbreds Don't Cry ù 1937",Judy Garland,,,,,,,,,
110562,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Broadway Melody of 1938 ù 1937",Judy Garland,,,,,,,,,
110563,"TV / Movies: Born June 10, 1922, She Starred In This Movie: Pigskin Parade ù 1936",Judy Garland,,,,,,,,,
110564,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Anna and the King ù 1999",Jodie Foster,,,,,,,,,
110565,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Contact ù 1997",Jodie Foster,,,,,,,,,
110566,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Maverick ù 1994",Jodie Foster,,,,,,,,,
110567,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Nell ù 1994",Jodie Foster,,,,,,,,,
110568,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Sommersby ù 1993",Jodie Foster,,,,,,,,,
110569,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Shadows and Fog ù 1992",Jodie Foster,,,,,,,,,
110570,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Little Man Tate ù 1991",Jodie Foster,,,,,,,,,
110571,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: The Silence of the Lambs ù 1991",Jodie Foster,,,,,,,,,
110572,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Backtrack ù 1989",Jodie Foster,,,,,,,,,
110573,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Five Corners ù 1988",Jodie Foster,,,,,,,,,
110574,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Stealing Home ù 1988",Jodie Foster,,,,,,,,,
110575,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: The Accused ù 1988",Jodie Foster,,,,,,,,,
110576,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Siesta ù 1987",Jodie Foster,,,,,,,,,
110577,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Mesmerized ù 1985",Jodie Foster,,,,,,,,,
110578,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: The Hotel New Hampshire ù 1984",Jodie Foster,,,,,,,,,
110579,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: The Blood of Others ù 1984",Jodie Foster,,,,,,,,,
110580,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Hotel New Hampshire ù 1984",Jodie Foster,,,,,,,,,
110581,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Svengali ù 1983",Jodie Foster,,,,,,,,,
110582,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: O'Hara's Wife ù 1982",Jodie Foster,,,,,,,,,
110583,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Carny ù 1980",Jodie Foster,,,,,,,,,
110584,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Foxes ù 1980",Jodie Foster,,,,,,,,,
110585,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Movies Are My Life ù 1978",Jodie Foster,,,,,,,,,
110586,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Il Casotto ù 1977",Jodie Foster,,,,,,,,,
110587,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Moi, fleur bleue ù 1977",Jodie Foster,,,,,,,,,
110588,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Fleur Bleue/Stop Calling Me Baby! ù 1977",Jodie Foster,,,,,,,,,
110589,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Candleshoe ù 1977",Jodie Foster,,,,,,,,,
110590,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Taxi Driver ù 1976",Jodie Foster,,,,,,,,,
110591,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Bugsy Malone ù 1976",Jodie Foster,,,,,,,,,
110592,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Echoes of a Summer/The Last Castle ù 1976",Jodie Foster,,,,,,,,,
110593,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: The Little Girl Who Lives Down the Lane ù 1976",Jodie Foster,,,,,,,,,
110594,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Freaky Friday ù 1976",Jodie Foster,,,,,,,,,
110595,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Alice Doesn't Live Here Anymore ù 1974",Jodie Foster,,,,,,,,,
110596,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Smile, Jenny, You're Dead ù 1974",Jodie Foster,,,,,,,,,
110597,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Tom Sawyer ù 1973",Jodie Foster,,,,,,,,,
110598,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: One Little Indian ù 1973",Jodie Foster,,,,,,,,,
110599,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Napoleon and Samantha ù 1972",Jodie Foster,,,,,,,,,
110600,"TV / Movies: Born Nov 19, 1962, She Starred In This Movie: Kansas City Bomber ù 1972",Jodie Foster,,,,,,,,,
110601,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Any Given Sunday ù 1999",Lauren Holly,,,,,,,,,
110602,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: No Looking Back ù 1998",Lauren Holly,,,,,,,,,
110603,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Turbulence ù 1997",Lauren Holly,,,,,,,,,
110604,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: A Smile Like Yours ù 1997",Lauren Holly,,,,,,,,,
110605,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Beautiful Girls ù 1996",Lauren Holly,,,,,,,,,
110606,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Down Periscope ù 1996",Lauren Holly,,,,,,,,,
110607,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Sabrina ù 1995",Lauren Holly,,,,,,,,,
110608,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Dumb & Dumber ù 1994",Lauren Holly,,,,,,,,,
110609,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Dragon: The Bruce Lee Story ù 1993",Lauren Holly,,,,,,,,,
110610,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Fugitive Among Us ù 1992",Lauren Holly,,,,,,,,,
110611,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: The Adventures of Ford Fairlane ù 1990",Lauren Holly,,,,,,,,,
110612,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Archie: To Riverdale and Back Again ù 1990",Lauren Holly,,,,,,,,,
110613,"TV / Movies: Born Oct 28, 1963, She Starred In This Movie: Band of the Hand ù 1986",Lauren Holly,,,,,,,,,
110614,"TV / Movies: Born May 4, 1929, She Starred In This Movie: Always ù 1989",Audrey Hepburn,,,,,,,,,
110615,"TV / Movies: Born May 4, 1929, She Starred In This Movie: Love Among Thieves ù 1987",Audrey Hepburn,,,,,,,,,
110616,"TV / Movies: Born May 4, 1929, She Starred In This Movie: Directed by William Wyler ù 1986",Audrey Hepburn,,,,,,,,,
110617,"TV / Movies: Born May 4, 1929, She Starred In This Movie: They All Laughed ù 1981",Audrey Hepburn,,,,,,,,,
